# curie_map:
#   PORTAL: https://kp.a2f.org/phenotype/
#   EFO: http://www.ebi.ac.uk/efo/EFO_
#   MESH: http://id.nlm.nih.gov/mesh/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   HP: http://purl.obolibrary.org/obo/HP_
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   ORPHANET: http://www.orpha.net/ORDO/Orphanet_
#   CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#   OBA: http://purl.obolibrary.org/obo/OBA_
#   CMO: http://purl.obolibrary.org/obo/CMO_
#   ICD10CM: http://purl.bioontology.org/ontology/ICD10CM/
# mapping_set_id: https://kp.a2f.org/phenotype/mappings
# mapping_set_version: v0.0.1 (2026-04-06)
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence
PORTAL:0000001	Age-related hearing impairment	skos:exactMatch	MESH:D011304	Presbycusis	semapv:ManualMappingCuration	0.85
PORTAL:0000001	Age-related hearing impairment	skos:exactMatch	EFO:0005782	age-related hearing impairment	semapv:ManualMappingCuration	0.85
PORTAL:0000001	Age-related hearing impairment	skos:relatedMatch	MONDO:0043765	presbycusis	semapv:MappingByLogicalReasoning	0.5
PORTAL:0000001	Age-related hearing impairment	oboInOwl:hasDbXref	ICD10CM:H91.1	Presbycusis	semapv:MappingByLogicalReasoning	0.8
PORTAL:0000002	Aging-GIP1 principal component	skos:broadMatch	EFO:0022597	aging	semapv:ManualMappingCuration	0.85
PORTAL:0000003	Aging-GIP1 principal component adj socioeconomic status	skos:broadMatch	EFO:0022597	aging	semapv:ManualMappingCuration	0.85
PORTAL:0000004	Clonal haematopoiesis of indeterminate potential (with or without mosaic chromosomal alteration)	skos:exactMatch	MESH:D000082182	Clonal Hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000004	Clonal haematopoiesis of indeterminate potential (with or without mosaic chromosomal alteration)	skos:broadMatch	EFO:0010819	clonal hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000005	Clonal haematopoiesis of indeterminate potential (ASXL1 mutation)	skos:exactMatch	MESH:D000082182	Clonal Hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000005	Clonal haematopoiesis of indeterminate potential (ASXL1 mutation)	skos:broadMatch	EFO:0010819	clonal hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000006	Clonal haematopoiesis of indeterminate potential (DNMT3A mutation)	skos:exactMatch	MESH:D000082182	Clonal Hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000006	Clonal haematopoiesis of indeterminate potential (DNMT3A mutation)	skos:broadMatch	EFO:0010819	clonal hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000007	Clonal haematopoiesis of indeterminate potential (JAK2 mutation)	skos:exactMatch	MESH:D000082182	Clonal Hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000007	Clonal haematopoiesis of indeterminate potential (JAK2 mutation)	skos:broadMatch	EFO:0010819	clonal hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000008	Clonal haematopoiesis of indeterminate potential (PPM1D mutation)	skos:exactMatch	MESH:D000082182	Clonal Hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000008	Clonal haematopoiesis of indeterminate potential (PPM1D mutation)	skos:broadMatch	EFO:0010819	clonal hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000009	Clonal haematopoiesis of indeterminate potential (SF3B1 mutation)	skos:exactMatch	MESH:D000082182	Clonal Hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000009	Clonal haematopoiesis of indeterminate potential (SF3B1 mutation)	skos:broadMatch	EFO:0010819	clonal hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000010	Clonal haematopoiesis of indeterminate potential (SRSF2 mutation)	skos:exactMatch	MESH:D000082182	Clonal Hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000010	Clonal haematopoiesis of indeterminate potential (SRSF2 mutation)	skos:broadMatch	EFO:0010819	clonal hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000011	Clonal haematopoiesis of indeterminate potential (TET2 mutation)	skos:exactMatch	MESH:D000082182	Clonal Hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000011	Clonal haematopoiesis of indeterminate potential (TET2 mutation)	skos:broadMatch	EFO:0010819	clonal hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000012	Clonal haematopoiesis of indeterminate potential (TP53 mutation)	skos:exactMatch	MESH:D000082182	Clonal Hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000012	Clonal haematopoiesis of indeterminate potential (TP53 mutation)	skos:broadMatch	EFO:0010819	clonal hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000013	Clonal haematopoiesis of indeterminate potential (without mosaic chromosomal alteration)	skos:exactMatch	MESH:D000082182	Clonal Hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000013	Clonal haematopoiesis of indeterminate potential (without mosaic chromosomal alteration)	skos:broadMatch	EFO:0010819	clonal hematopoiesis	semapv:ManualMappingCuration	0.85
PORTAL:0000014	DNA methylation-estimated plasminogen activator inhibitor-1 levels	skos:broadMatch	EFO:0004792	plasminogen activator inhibitor 1 measurement	semapv:ManualMappingCuration	0.85
PORTAL:0000015	DNA methylation GrimAge acceleration	skos:exactMatch	MESH:D019175	DNA Methylation	semapv:ManualMappingCuration	0.85
PORTAL:0000015	DNA methylation GrimAge acceleration	skos:broadMatch	EFO:0001444	measurement	semapv:ManualMappingCuration	0.7
PORTAL:0000016	DNA methylation Hannum age acceleration	skos:exactMatch	MESH:D019175	DNA Methylation	semapv:ManualMappingCuration	0.85
PORTAL:0000016	DNA methylation Hannum age acceleration	skos:broadMatch	EFO:0001444	measurement	semapv:ManualMappingCuration	0.7
PORTAL:0000017	Intrinsic epigenetic age acceleration	skos:exactMatch	MESH:D000375	Aging	semapv:ManualMappingCuration	0.85
PORTAL:0000017	Intrinsic epigenetic age acceleration	skos:broadMatch	EFO:0001444	measurement	semapv:ManualMappingCuration	0.7
PORTAL:0000018	DNA methylation PhenoAge acceleration	skos:exactMatch	MESH:D019175	DNA Methylation	semapv:ManualMappingCuration	0.85
PORTAL:0000018	DNA methylation PhenoAge acceleration	skos:broadMatch	EFO:0001444	measurement	semapv:ManualMappingCuration	0.7
PORTAL:0000019	Longevity (age >90th survival percentile)	skos:exactMatch	MESH:D008136	Longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000019	Longevity (age >90th survival percentile)	skos:broadMatch	EFO:0004300	obsolete_longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000020	Longevity (age >99th survival percentile)	skos:exactMatch	MESH:D008136	Longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000020	Longevity (age >99th survival percentile)	skos:broadMatch	EFO:0004300	obsolete_longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000021	Frailty index	skos:exactMatch	MESH:D000073496	Frailty	semapv:ManualMappingCuration	0.85
PORTAL:0000021	Frailty index	skos:exactMatch	EFO:0009885	frailty measurement	semapv:ManualMappingCuration	0.85
PORTAL:0000022	Fried frailty score	skos:exactMatch	MESH:D000073496	Frailty	semapv:ManualMappingCuration	0.85
PORTAL:0000022	Fried frailty score	skos:broadMatch	EFO:0009885	frailty measurement	semapv:ManualMappingCuration	0.85
PORTAL:0000023	Healthspan	skos:exactMatch	MESH:D006304	Health Status	semapv:ManualMappingCuration	0.85
PORTAL:0000023	Healthspan	skos:exactMatch	EFO:0009762	healthspan	semapv:ManualMappingCuration	0.85
PORTAL:0000024	Leukocyte telomere length	skos:exactMatch	MESH:D016615	Telomere	semapv:ManualMappingCuration	0.85
PORTAL:0000024	Leukocyte telomere length	skos:exactMatch	MESH:D059506	Telomere Shortening	semapv:ManualMappingCuration	0.85
PORTAL:0000024	Leukocyte telomere length	skos:broadMatch	EFO:0004505	obsolete_telomere length	semapv:ManualMappingCuration	0.85
PORTAL:0000025	Parental longevity (mother's age at death)	skos:exactMatch	MESH:D008136	Longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000025	Parental longevity (mother's age at death)	skos:broadMatch	EFO:0007796	parental longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000025	Parental longevity (mother's age at death)	skos:closeMatch	EFO:0009721	mother's age at death	semapv:LexicalMatching	0.7
PORTAL:0000026	Parental longevity (mother's attained age)	skos:exactMatch	MESH:D008136	Longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000026	Parental longevity (mother's attained age)	skos:broadMatch	EFO:0007796	parental longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000027	Parental longevity (both parents in top 10%)	skos:exactMatch	MESH:D008136	Longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000027	Parental longevity (both parents in top 10%)	skos:broadMatch	EFO:0001444	measurement	semapv:ManualMappingCuration	0.7
PORTAL:0000028	Parental extreme longevity (95 years and older)	skos:exactMatch	MESH:D008136	Longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000028	Parental extreme longevity (95 years and older)	skos:broadMatch	EFO:0007796	parental longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000029	Parental lifespan	skos:exactMatch	MESH:D008136	Longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000029	Parental lifespan	skos:exactMatch	EFO:0007796	parental longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000030	Parental longevity (combined parental age at death)	skos:exactMatch	MESH:D008136	Longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000030	Parental longevity (combined parental age at death)	skos:broadMatch	EFO:0007796	parental longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000031	Parental longevity (combined parental attained age, Martingale residuals)	skos:exactMatch	MESH:D008136	Longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000031	Parental longevity (combined parental attained age, Martingale residuals)	skos:broadMatch	EFO:0007796	parental longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000032	Parental longevity (father's age at death)	skos:exactMatch	MESH:D008136	Longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000032	Parental longevity (father's age at death)	skos:broadMatch	EFO:0007796	parental longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000032	Parental longevity (father's age at death)	skos:closeMatch	EFO:0009712	father's age at death	semapv:LexicalMatching	0.7
PORTAL:0000033	Parental longevity (father's attained age)	skos:exactMatch	MESH:D008136	Longevity	semapv:ManualMappingCuration	0.85
PORTAL:0000033	Parental longevity (father's attained age)	skos:broadMatch	EFO:0009712	father's age at death	semapv:ManualMappingCuration	0.85
PORTAL:0000034	Perceived age	skos:broadMatch	EFO:0008006	obsolete_skin aging measurement	semapv:ManualMappingCuration	0.85
PORTAL:0000035	Self-rated health	skos:exactMatch	MESH:D059026	Diagnostic Self Evaluation	semapv:ManualMappingCuration	0.85
PORTAL:0000035	Self-rated health	skos:exactMatch	EFO:0004778	self rated health	semapv:ManualMappingCuration	0.85
PORTAL:0000036	Telomere length	skos:exactMatch	EFO:0004505	obsolete_telomere length	semapv:ManualMappingCuration	0.85
PORTAL:0000037	Mosaic chromosomal alteration of the autosomes	skos:broadMatch	EFO:0000336	chromosomal aberration	semapv:ManualMappingCuration	0.85
PORTAL:0000038	Mosaic chromosomal alteration of the X chromosome	skos:broadMatch	EFO:0000336	chromosomal aberration	semapv:ManualMappingCuration	0.85
PORTAL:0000039	Mosaic chromosomal alteration of the Y chromosome	skos:broadMatch	EFO:0000336	chromosomal aberration	semapv:ManualMappingCuration	0.85
PORTAL:0000040	Multi-variate aging	skos:exactMatch	MESH:D000375	Aging	semapv:ManualMappingCuration	0.85
PORTAL:0000040	Multi-variate aging	skos:exactMatch	EFO:0022597	aging	semapv:ManualMappingCuration	0.85
PORTAL:0000041	Arm fat ratio	skos:exactMatch	MESH:D050218	Body Fat Distribution	semapv:ManualMappingCuration	0.85
PORTAL:0000041	Arm fat ratio	skos:broadMatch	EFO:0004341	body fat distribution	semapv:ManualMappingCuration	0.85
PORTAL:0000042	Abdominal subcutaneous adipose tissue volume	skos:exactMatch	MESH:D050507	Subcutaneous Fat, Abdominal	semapv:ManualMappingCuration	0.85
PORTAL:0000042	Abdominal subcutaneous adipose tissue volume	skos:broadMatch	EFO:0803316	abdominal adipose tissue measurement	semapv:ManualMappingCuration	0.85
PORTAL:0000043	ASAT adjusted for BMI and height	skos:exactMatch	MESH:D050507	Subcutaneous Fat, Abdominal	semapv:ManualMappingCuration	0.85
PORTAL:0000043	ASAT adjusted for BMI and height	skos:broadMatch	EFO:0001444	measurement	semapv:ManualMappingCuration	0.7
PORTAL:0000044	ASAT to GFAT ratio	skos:exactMatch	MESH:D050507	Subcutaneous Fat, Abdominal	semapv:ManualMappingCuration	0.85
PORTAL:0000044	ASAT to GFAT ratio	skos:exactMatch	MESH:D000273	Adipose Tissue	semapv:ManualMappingCuration	0.85
