portal_id	gwas_source_category	legacy_phenotype_id	phenotype_name	legacy_trait_group	trait_group	trait_type	pigean_id
PORTAL:0000001	portal	ARHI	Age-related hearing impairment	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000002	portal	AgingGIP1	Aging-GIP1 principal component	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000003	portal	AgingGIP1AdjSocioEcon	Aging-GIP1 principal component adj socioeconomic status	AGING_AND_LONGEVITY	aging	adjusted	
PORTAL:0000004	portal	CHIP	Clonal haematopoiesis of indeterminate potential (with or without mosaic chromosomal alteration)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000005	portal	CHIP_ASXL1	Clonal haematopoiesis of indeterminate potential (ASXL1 mutation)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000006	portal	CHIP_DNMT3A	Clonal haematopoiesis of indeterminate potential (DNMT3A mutation)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000007	portal	CHIP_JAK2	Clonal haematopoiesis of indeterminate potential (JAK2 mutation)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000008	portal	CHIP_PPM1D	Clonal haematopoiesis of indeterminate potential (PPM1D mutation)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000009	portal	CHIP_SF3B1	Clonal haematopoiesis of indeterminate potential (SF3B1 mutation)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000010	portal	CHIP_SRSF2	Clonal haematopoiesis of indeterminate potential (SRSF2 mutation)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000011	portal	CHIP_TET2	Clonal haematopoiesis of indeterminate potential (TET2 mutation)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000012	portal	CHIP_TP53	Clonal haematopoiesis of indeterminate potential (TP53 mutation)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000013	portal	CHIPwithoutmCA	Clonal haematopoiesis of indeterminate potential (without mosaic chromosomal alteration)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000014	portal	DNAme_PAI1	DNA methylation-estimated plasminogen activator inhibitor-1 levels	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000015	portal	EAA_Grim	DNA methylation GrimAge acceleration	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000016	portal	EAA_Hannum	DNA methylation Hannum age acceleration	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000017	portal	EAA_Intrinsic	Intrinsic epigenetic age acceleration	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000018	portal	EAA_Pheno	DNA methylation PhenoAge acceleration	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000019	portal	ExtremeLongevity_90thPerc	Longevity (age >90th survival percentile)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000020	portal	ExtremeLongevity_99thPerc	Longevity (age >99th survival percentile)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000021	portal	FrailtyIndex	Frailty index	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000022	portal	FriedFrailtyScore	Fried frailty score	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000023	portal	Healthspan	Healthspan	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000024	portal	LTL	Leukocyte telomere length	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000025	portal	MaternalLongevity_AtDeath	Parental longevity (mother's age at death)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000026	portal	MaternalLongevity_Attained	Parental longevity (mother's attained age)	AGING_AND_LONGEVITY	aging	phenotype	
